Question ID,Correct Answer
0802,B
0001,D
0315,A
0862,C
0962,A
0752,D
0709,C
0053,B
0668,D
0851,A
0586,D
0495,D
0444,C
0149,D
0152,C
0278,D
0399,A
0452,D
0379,A
0232,C
0346,D
0145,A
0913,C
0101,A
0860,B
0099,A
0183,C
0396,C
0635,C
0536,B
0005,D
0185,B
0866,D
0593,C
0449,D
0004,E
0682,B
0121,D
0029,C
0789,A
0295,D
0263,A
0241,C
0151,A
0784,B
0111,A
0721,D
0788,E
0949,A
0582,A
0094,E
0630,D
0454,A
0036,D
0034,D
0102,B
0236,C
0251,E
0541,C
0643,E
0031,E
0600,B
0215,E
0763,E
0693,E
0747,E
0450,C
0238,C
0481,A
0629,A
0298,A
0861,A
0926,B
0010,D
0808,B
0857,A
0173,C
0743,C
0364,E
0169,D
0233,A
0812,E
0360,A
0100,E
0408,C
0106,B
0384,B
0902,B
0368,E
0645,A
0284,A
0858,B
0048,B
0777,C
0492,A
0573,B
0134,C
0981,C
0406,E
0085,B
